partnership,ghgrp_id,frs_id,primary_naics,oris,longitude_wgs84,latitude_wgs84,source_name,operator,address,city,state_prov_name,state_prov_abbrv,state_location,source_type,source_type_common,epa_ind_subpart,epa_sector,fuel,co2_tonne,co2_bio,year,data_source,comments,featid
SWP,"1002600","110043805040","611310",,-111.646375417,40.2470441290001,BRIGHAM YOUNG UNIVERSITY,,B-340 ASB,PROVO,UTAH,UT,,,UNCLASSIFIED,C,Other,,"51383",,"2013",U.S. EPA GHG Reporting Program,,"78"
SWP,"1004709","110039153028","211112",,-110.259403254,40.2849181440001,ALTAMONT GAS PLANT,,17790 WEST 3750 NORTH,ALTAMONT,UTAH,UT,,,PETROLEUM/NATURAL GAS,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,"46654",,"2013",U.S. EPA GHG Reporting Program,,"152"
BSCSP,"1004802","110000729105","211111",,-111.040844521,41.0672281780001,ANSHUTZ RANCH EAST GAS PLANT,,20 MILES SOUTHWEST OF EVANSTON,EVANSTON,WYOMING,WY,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,"13571",,"2013",U.S. EPA GHG Reporting Program,,"238"
SWP,"1002570","110002380254","336415",,-112.091914685,40.66829905,ATK LAUNCH SYSTEMS INC,,5000 SOUTH 8400 WEST,MAGNA,UTAH,UT,,,INDUSTRIAL,C,Other,,"29326",,"2013",U.S. EPA GHG Reporting Program,,"299"
SWP,"1002571","110032607329","336415",,-112.220691833,41.5578861390001,ATK LAUNCH SYSTEMS INC,,9160 NORTH HIGHWAY 83,PROMONTORY,UTAH,UT,,,INDUSTRIAL,C,Other,,"43021",,"2013",U.S. EPA GHG Reporting Program,,"300"
SWP,"1001896","110055507312","211111",,-109.524141107,40.3616062080001,ANTELOPE FLAT/ SAND WASH COMPRESSOR STATION,,,VERNAL,UTAH,UT,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,"40673",,"2013",U.S. EPA GHG Reporting Program,,"422"
SWP,"1002530","110002463717","327310",,-112.262257569,39.508332904,ASH GROVE CEMENT COMPANY-LEAMINGTON,,19090 WEST HIGHWAY 132,NEPHI,UTAH,UT,,,CEMENT PLANT,"C,H",Minerals,,"403956",,"2013",U.S. EPA GHG Reporting Program,,"490"
SWP,"1006417","110013863925","562212",,-111.956201564,39.952495979,BAYVIEW LANDFILL,,10804 S 12800 W REDWOOD RD,ELBERTA,UTAH,UT,,,WASTE MANAGEMENT,"C,HH",Waste,,"1",,"2013",U.S. EPA GHG Reporting Program,,"563"
SWP,"1009068","110000468921","324110",,-111.919492673,40.837885731,BIG WEST OIL LLC,,333 WEST CENTER STREET,NORTH SALT LAKE,UTAH,UT,,,REFINERIES/CHEMICAL,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",,"270652",,"2013",U.S. EPA GHG Reporting Program,,"595"
SWP,"1003165","110043803408","211111",,-110.271318194,39.7805440820001,BILL BARRET - INTERPLANETARY COMPRESSOR STATION,,,SUNNYSIDE,UTAH,UT,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,"30392",,"2013",U.S. EPA GHG Reporting Program,,"597"
